"date_time","uni_meteo"
2022-12-15 21:00:00,-1.443833
2022-12-15 22:00:00,-1.712354
2022-12-15 23:00:00,-1.942365
2022-12-16 00:00:00,-1.913455
2022-12-16 01:00:00,-1.959253
2022-12-16 02:00:00,-1.992397
2022-12-16 03:00:00,-1.977115
2022-12-16 04:00:00,-1.944236
2022-12-16 05:00:00,-1.977774
2022-12-16 06:00:00,-2.098214
2022-12-16 07:00:00,-2.132178
2022-12-16 08:00:00,-2.30416
2022-12-16 09:00:00,-2.275694
2022-12-16 10:00:00,-2.103833
2022-12-16 12:00:00,-2.197072
2022-12-16 13:00:00,-1.962405
2022-12-16 14:00:00,-1.788321
2022-12-16 15:00:00,-1.948615
2022-12-16 16:00:00,-2.169789
2022-12-16 17:00:00,-2.154246
2022-12-16 18:00:00,-2.290126
2022-12-16 19:00:00,-2.268185
2022-12-16 20:00:00,-2.230748
2022-12-16 21:00:00,-2.32823
2022-12-16 22:00:00,-2.396519
2022-12-16 23:00:00,-2.670025
2022-12-17 00:00:00,-2.726268
2022-12-17 01:00:00,-3.385197
2022-12-17 02:00:00,-3.426805
2022-12-17 03:00:00,-4.524073
2022-12-17 04:00:00,-4.898382
2022-12-17 05:00:00,-5.726861
2022-12-17 06:00:00,-5.928022
2022-12-17 07:00:00,-6.207372
2022-12-17 08:00:00,-6.763938
2022-12-17 09:00:00,-6.929988
2022-12-17 10:00:00,-6.559744
2022-12-17 11:00:00,-5.605101
2022-12-17 12:00:00,-5.131102
2022-12-17 13:00:00,-5.022275
2022-12-17 14:00:00,-4.77537
2022-12-17 15:00:00,-4.759596
2022-12-17 16:00:00,-4.778307
2022-12-17 17:00:00,-4.840315
2022-12-17 18:00:00,-5.072068
2022-12-17 19:00:00,-5.25005
2022-12-17 20:00:00,-5.511129
2022-12-17 21:00:00,-5.711137
2022-12-17 22:00:00,-5.556339
2022-12-17 23:00:00,-5.704912
2022-12-18 00:00:00,-5.984562
2022-12-18 01:00:00,-6.010697
2022-12-18 02:00:00,-6.905167
2022-12-18 03:00:00,-7.369768
2022-12-18 04:00:00,-7.393237
2022-12-18 05:00:00,-7.660927
2022-12-18 06:00:00,-8.27877
2022-12-18 07:00:00,-8.757442
2022-12-18 08:00:00,-9.011938
2022-12-18 09:00:00,-9.081523
2022-12-18 10:00:00,-8.746411
2022-12-18 11:00:00,-7.07958
2022-12-18 12:00:00,-5.014332
2022-12-18 13:00:00,-3.136419
2022-12-18 14:00:00,-2.676901
2022-12-18 15:00:00,-2.238465
2022-12-18 16:00:00,-2.197686
2022-12-18 17:00:00,-2.332528
2022-12-18 18:00:00,-2.374383
2022-12-18 19:00:00,-2.148349
2022-12-18 20:00:00,-2.13636
2022-12-18 21:00:00,-2.017931
2022-12-18 22:00:00,-1.731328
2022-12-18 23:00:00,-1.524325
2022-12-19 00:00:00,-1.047772
2022-12-19 01:00:00,-0.1746528
2022-12-19 02:00:00,0.8768542
2022-12-19 03:00:00,0.6824208
2022-12-19 04:00:00,1.234888
2022-12-19 05:00:00,1.479936
2022-12-19 06:00:00,1.737069
2022-12-19 07:00:00,2.253699
2022-12-19 08:00:00,2.559872
2022-12-19 09:00:00,2.572011
2022-12-19 10:00:00,2.857153
2022-12-19 11:00:00,4.265621
2022-12-19 12:00:00,5.662546
2022-12-19 13:00:00,6.810816
2022-12-19 14:00:00,7.435743
2022-12-19 15:00:00,7.986137
2022-12-19 16:00:00,7.456306
2022-12-19 17:00:00,6.762332
2022-12-19 18:00:00,6.319284
2022-12-19 19:00:00,6.111673
2022-12-19 20:00:00,6.151315
2022-12-19 21:00:00,6.254126
2022-12-19 22:00:00,6.158794
2022-12-19 23:00:00,5.990012
2022-12-20 00:00:00,6.229197
2022-12-20 01:00:00,6.092799
2022-12-20 02:00:00,5.907382
2022-12-20 03:00:00,5.849266
2022-12-20 04:00:00,6.389841
2022-12-20 05:00:00,6.748782
2022-12-20 06:00:00,6.481144
2022-12-20 07:00:00,6.766961
2022-12-20 08:00:00,7.348512
2022-12-20 09:00:00,6.980055
2022-12-20 10:00:00,7.127158
2022-12-20 11:00:00,8.184133
2022-12-20 12:00:00,9.288453
